Precursor	logFC	mean_cancer	mean_normal	ttest_pvalue	BH.adjusted_pvalues	Precursor.ID	miRNA.ID	miRNA.name
hsa-mir-454	1.58	5.17	3.59	7.44906356199349e-21	6.29032034123895e-20	MI0003820	MIMAT0003885	hsa-miR-454-3p
hsa-mir-93	1.36	14.12	12.76	8.24244192207863e-21	6.85152984772786e-20	MI0000095	MIMAT0004509	hsa-miR-93-3p
hsa-mir-93	1.36	14.12	12.76	8.24244192207863e-21	6.85152984772786e-20	MI0000095	MIMAT0000093	hsa-miR-93-5p
hsa-mir-340	1.29	6.65	5.37	9.21099650883079e-21	7.53884637338151e-20	MI0000802	MIMAT0004692	hsa-miR-340-5p
hsa-mir-340	1.29	6.65	5.37	9.21099650883079e-21	7.53884637338151e-20	MI0000802	MIMAT0000750	hsa-miR-340-3p
hsa-mir-483	-1.71	3.87	5.58	1.09787898866941e-20	8.84957002988066e-20	MI0002467	MIMAT0004761	hsa-miR-483-5p
hsa-mir-483	-1.71	3.87	5.58	1.09787898866941e-20	8.84957002988066e-20	MI0002467	MIMAT0002173	hsa-miR-483-3p
hsa-mir-105-2	1.31	1.72	0.41	1.46941009634789e-20	1.16675547948817e-19	MI0000112	MIMAT0000102_1	hsa-miR-105-5p
hsa-mir-105-2	1.31	1.72	0.41	1.46941009634789e-20	1.16675547948817e-19	MI0000112	MIMAT0004516_1	hsa-miR-105-3p
hsa-mir-3127	1.2	4.77	3.57	3.32716565768178e-20	2.49303116885451e-19	MI0014144	MIMAT0019201	hsa-miR-3127-3p
hsa-mir-3127	1.2	4.77	3.57	3.32716565768178e-20	2.49303116885451e-19	MI0014144	MIMAT0014990	hsa-miR-3127-5p
hsa-mir-671	1.28	5.04	3.76	4.12250185448273e-20	3.04607081470113e-19	MI0003760	MIMAT0004819	hsa-miR-671-3p
hsa-mir-671	1.28	5.04	3.76	4.12250185448273e-20	3.04607081470113e-19	MI0003760	MIMAT0003880	hsa-miR-671-5p
